Id;Designator;Package;Quantity;Designation;Supplier and ref
1;NC1,NC2,NC3,NC4;m2.5_mechanical_npth_mount;4;Mounting_hole;
2;C1,C4,C6;SMD0603_A;3;10u;%
3;C2;SMD0603_A;1;10n;%
4;C3;SMD0603_A;1;100n;%
5;C5;EECRG0V155HN;1;EECRG0V155(V|H)N;%
6;L1;SMD1206_A;1;INDUCTOR_SMALL;%
7;P1,P2;Pin_Header_Straight_1x02;2;CONN_01X02;
8;R1;SMD0603_A;1;4M;%
9;R2;SMD0603_A;1;6M;%
10;R3;SMD0603_A;1;1M8;%
11;R4;SMD0603_A;1;1M;
12;R5;SMD0603_A;1;4M22;%
13;R6;SMD0603_A;1;2M5;%
14;R7;SMD0603_A;1;5M6;%
15;R8;SMD0603_A;1;9M;%
16;R9;SMD0603_A;1;5M62;%
17;U1;QFN-16-1EP_3x3mm_Pitch0.5mm;1;BQ25504;
18;D1,5V1;SOD-323-A;2;TVS;%
19;P3;Pin_Header_Straight_1x05;1;CONN_01X03;
20;D2,D3;SOD-323-A;2;D_Schottky;%
